MODEL=meta-llama/Llama-2-13b-hf  layers=40  hidden=5120  n_train=16800 n_test=7200  preceding=3

CROSS-TYPE: mlp <- attention (held-out)
 lyr    self   local    ctrl
   0   0.343   0.239   1.032
   1   0.491   0.437   1.061
   2   0.902   0.873   1.106
   3   0.354   0.313   1.068
   4   0.921   0.942   1.118
   5   0.897   0.981   1.113
   6   0.904   0.987   1.113
   7   0.891   0.969   1.113
   8   0.889   0.974   1.115
   9   0.895   0.986   1.120
  10   0.905   0.994   1.121
  11   0.905   1.006   1.117
  12   0.913   1.030   1.120
  13   0.915   1.037   1.122
  14   0.914   1.024   1.127
  15   0.905   1.018   1.117
  16   0.899   0.998   1.121
  17   0.901   1.015   1.123
  18   0.907   1.024   1.130
  19   0.927   1.047   1.130
  20   0.924   1.046   1.129
  21   0.896   1.009   1.125
  22   0.917   1.022   1.132
  23   0.926   1.040   1.130
  24   0.927   1.057   1.128
  25   0.938   1.051   1.138
  26   0.928   1.067   1.128
  27   0.963   1.084   1.146
  28   0.960   1.109   1.128
  29   0.962   1.112   1.141
  30   0.986   1.138   1.150
  31   0.976   1.161   1.134
  32   0.994   1.172   1.142
  33   1.000   1.166   1.152
  34   0.987   1.165   1.132
  35   0.982   1.125   1.131
  36   0.952   1.085   1.127
  37   0.915   1.017   1.117
  38   0.839   0.586   1.109
  39   0.540   0.502   1.053
mean cross-type: self=0.877 local=0.965

CROSS-BLOCK: mlp <- preceding layers' mlp (held-out)
mean cross-block err = 1.051  (control ~1.0)

ViT ref (DeiT-Small): cross-type local~0.72, cross-block~0.6-0.9 (weak).
